# HJD Ha red yellow Hb He2 blue
2453965.53868 18.06 12.99 11.53 11.44 13.32 7.69
2453965.53881 12.11 9.91 11.03 6.84 10.35 8.51
2453965.53896 15.04 12.78 13.51 13.34 11.61 7.35
2453965.53909 10.57 12.48 12.34 8.74 12.36 7.70
2453965.53924 13.26 11.66 11.75 9.77 16.98 8.89
2453965.53937 12.86 11.47 10.70 9.33 8.22 7.67
2453965.53949 14.75 11.08 11.65 9.02 15.73 8.89
2453965.53962 15.82 11.68 10.93 11.10 19.09 8.87
2453965.53975 12.31 13.49 12.62 13.78 11.50 10.15
2453965.53989 10.95 11.77 11.59 7.22 9.26 9.08
2453965.54002 18.37 10.03 11.21 9.93 11.65 8.51
2453965.54014 22.45 10.06 10.63 8.15 9.73 6.76
2453965.54027 15.74 14.62 13.20 15.24 14.56 7.93
2453965.54041 16.91 11.59 12.46 11.82 16.94 8.73
2453965.54054 14.53 14.58 12.77 12.29 13.90 8.94
2453965.54066 15.63 14.94 12.79 9.66 13.80 10.59
2453965.54079 12.74 13.12 14.26 8.74 12.36 8.79
2453965.54092 14.83 13.07 10.49 14.84 10.87 10.38
2453965.54105 13.95 14.74 12.82 11.78 11.92 10.11
2453965.54117 14.80 15.54 13.20 11.13 11.95 8.51
2453965.54131 16.53 11.58 12.56 10.12 10.48 11.03
2453965.54144 11.04 13.62 14.17 8.98 10.85 9.01
2453965.54157 16.85 14.72 14.34 11.12 12.35 11.43
2453965.54169 11.86 13.59 14.12 13.73 12.74 8.79
2453965.54182 17.09 14.89 13.60 11.04 11.07 9.55
2453965.54195 13.68 12.49 12.53 11.31 25.07 8.58
2453965.54208 11.86 11.95 13.88 12.24 10.10 8.19
2453965.5422 16.40 12.45 11.76 8.80 13.32 9.11
2453965.54234 11.54 11.42 10.12 7.69 17.00 9.92
2453965.54247 12.95 11.03 11.11 10.54 9.43 8.67
2453965.5426 14.06 12.39 12.07 9.78 15.94 8.99
2453965.54272 25.08 11.18 11.91 7.14 11.01 8.01
2453965.54285 15.54 14.66 12.36 9.12 10.37 10.04
2453965.54298 18.37 10.36 10.78 11.09 8.84 9.29
2453965.54311 14.44 14.33 11.41 9.00 11.93 10.54
2453965.54323 14.42 12.22 11.33 12.58 16.13 8.34
2453965.54336 21.64 11.54 10.96 8.22 12.09 7.51
2453965.54349 20.68 11.13 11.42 9.45 14.19 6.99
2453965.54362 15.68 12.33 11.42 9.03 14.09 7.96
2453965.54375 17.30 11.27 10.56 8.66 13.76 9.20
2453965.54388 13.09 14.44 13.30 8.91 11.80 8.49
2453965.54401 14.35 12.63 14.47 9.24 11.80 9.08
2453965.54414 15.84 12.54 11.05 9.93 12.67 10.37
2453965.54426 12.12 12.46 10.00 9.10 10.19 8.50
2453965.5444 20.61 12.25 12.23 8.64 12.82 8.12
2453965.54453 18.29 12.18 12.62 11.98 11.74 10.73
2453965.54466 11.57 14.55 15.05 8.83 20.10 9.83
2453965.54478 17.45 14.78 12.93 8.89 17.62 9.50
2453965.54491 16.58 13.70 11.59 12.19 11.14 9.25
2453965.54504 17.58 12.06 10.38 9.87 11.29 7.96
2453965.54517 17.36 10.63 11.54 12.81 11.39 6.92
2453965.54529 11.17 12.74 15.94 14.73 15.02 8.51
2453965.54542 20.25 15.14 14.25 9.75 14.77 9.48
2453965.54555 15.09 11.94 11.73 9.14 13.12 7.52
2453965.54568 14.55 10.99 11.23 7.48 13.36 7.60
2453965.5458 19.21 13.49 12.24 8.32 12.03 7.95
2453965.54594 18.63 13.78 13.16 12.20 19.09 8.29
2453965.54607 15.13 12.43 11.66 11.42 10.48 7.88
2453965.5462 23.20 10.44 9.23 8.14 10.52 7.48
2453965.54632 13.64 13.35 13.14 11.93 14.74 7.97
2453965.54645 15.47 13.36 12.84 11.95 12.52 11.27
2453965.54658 12.14 12.80 13.56 11.18 12.09 8.66
2453965.54671 21.64 13.74 11.22 13.33 12.45 8.60
2453965.54683 12.98 12.01 10.51 10.32 15.99 8.76
2453965.54697 13.40 13.49 15.65 10.69 11.54 9.64
2453965.5471 15.38 13.90 13.21 10.66 19.99 8.27
2453965.54723 19.20 16.32 13.42 15.19 12.12 10.30
2453965.54735 18.90 11.22 10.67 11.23 17.03 9.58
2453965.54748 20.27 14.48 13.51 12.58 14.01 10.13
2453965.54761 12.41 12.06 10.23 10.07 11.40 8.36
2453965.54774 14.63 14.82 12.74 14.72 11.59 9.65
2453965.54787 15.51 12.75 11.27 9.62 9.51 8.28
2453965.548 14.45 13.70 11.81 7.92 11.44 8.13
2453965.54813 13.90 13.85 11.65 12.39 19.64 10.33
2453965.54826 15.11 13.47 12.85 10.22 13.44 7.48
2453965.54838 13.42 11.09 10.34 6.89 10.95 7.72
2453965.54851 15.38 14.91 13.18 12.07 10.32 10.56
2453965.54864 17.62 13.42 12.11 10.65 12.11 8.76
2453965.54877 16.03 12.50 11.70 11.29 19.99 8.17
2453965.54889 12.08 12.28 11.35 12.08 12.54 7.21
2453965.54902 12.47 12.49 13.21 10.56 9.62 9.29
2453965.54915 15.71 10.82 13.36 9.90 12.53 8.62
2453965.54927 21.70 13.65 12.59 7.95 12.44 8.88
2453965.5494 11.61 13.81 14.85 10.33 11.27 10.82
2453965.54954 11.57 13.51 11.37 13.35 11.03 10.21
2453965.54967 31.02 12.80 13.87 8.40 12.43 10.58
2453965.5498 9.99 12.22 11.03 12.85 12.74 9.67
2453965.54992 14.29 12.45 14.17 2.57 13.65 9.32
2453965.55005 13.07 13.79 12.24 12.41 14.96 7.50
2453965.55018 17.61 12.20 15.16 9.83 11.39 9.35
2453965.5503 13.75 15.99 13.95 9.58 14.66 11.39
2453965.55043 15.62 11.19 12.78 8.69 13.38 8.67
2453965.55056 17.47 14.68 14.90 11.56 16.80 10.02
2453965.55069 12.87 12.52 11.77 11.60 14.37 7.05
2453965.55081 14.84 15.37 13.96 11.33 12.15 9.22
2453965.55094 18.94 13.44 11.94 16.45 18.71 9.53
2453965.55108 12.55 14.17 13.88 10.73 16.30 11.18
2453965.55121 13.17 13.84 13.60 13.03 12.45 8.72
2453965.55133 15.50 12.55 12.96 9.06 15.73 8.96
2453965.55146 13.75 9.35 9.66 12.59 18.26 7.45
2453965.55159 15.35 10.91 12.82 14.81 10.72 8.02
2453965.55172 19.75 11.41 13.66 15.42 14.15 9.15
2453965.55184 19.89 13.70 12.93 9.94 11.04 10.62
2453965.55198 17.51 15.26 12.99 9.13 13.34 8.50
2453965.55211 20.68 12.43 12.39 15.29 18.44 8.31
2453965.55224 19.63 16.04 14.57 18.33 12.14 11.33
2453965.55236 14.37 14.44 11.60 10.10 12.87 9.39
2453965.55249 20.22 14.96 11.96 15.63 12.98 8.50
2453965.55263 17.36 13.48 13.39 11.16 12.14 9.23
2453965.55276 14.89 11.77 12.61 8.08 12.96 8.44
