# HJD Ha red yellow Hb He2 blue
2453965.53868 17.61 13.13 10.91 11.06 13.49 7.83
2453965.53881 11.95 9.63 10.72 6.76 10.28 8.72
2453965.53896 14.76 12.55 13.48 13.26 11.61 7.03
2453965.53909 10.42 12.92 12.11 8.55 12.36 7.47
2453965.53924 13.00 11.59 11.76 9.67 16.97 8.70
2453965.53937 12.66 11.77 10.21 9.28 8.24 7.38
2453965.53949 14.46 10.85 11.35 8.87 15.67 9.16
2453965.53962 15.53 11.74 10.54 11.10 19.23 8.68
2453965.53975 12.14 13.61 12.11 13.61 11.46 10.62
2453965.53989 10.79 12.30 11.66 7.14 9.29 9.42
2453965.54002 18.10 10.10 10.43 9.84 11.60 8.58
2453965.54014 21.85 9.85 10.30 8.02 9.75 7.05
2453965.54027 15.42 14.69 12.23 14.65 14.65 8.31
2453965.54041 16.55 12.02 11.88 11.85 16.73 8.92
2453965.54054 14.36 14.09 12.90 12.15 13.79 9.78
2453965.54066 15.45 14.95 12.44 9.54 14.00 11.13
2453965.54079 12.61 12.83 14.09 8.57 12.30 9.09
2453965.54092 14.61 13.12 9.77 15.19 10.84 10.31
2453965.54105 13.80 14.56 12.43 11.79 11.79 10.09
2453965.54117 14.52 15.20 13.20 11.03 11.74 9.11
2453965.54131 16.30 11.40 12.41 10.00 10.54 11.39
2453965.54144 10.88 13.75 13.81 8.91 10.84 9.89
2453965.54157 16.41 15.35 13.37 11.03 12.43 11.47
2453965.54169 11.66 12.86 13.55 13.29 12.54 9.89
2453965.54182 16.77 14.79 13.02 10.89 10.96 9.37
2453965.54195 13.46 12.80 12.05 11.16 23.88 8.80
2453965.54208 11.72 12.17 13.65 11.90 10.20 8.99
2453965.5422 16.15 12.69 11.82 8.69 13.30 8.99
2453965.54234 11.40 11.84 9.98 7.68 17.31 9.85
2453965.54247 12.75 11.24 11.03 10.31 9.44 9.06
2453965.5426 13.87 12.41 11.31 9.61 16.10 9.27
2453965.54272 25.01 11.14 11.29 7.09 11.11 8.48
2453965.54285 15.32 14.50 11.85 9.06 10.49 9.83
2453965.54298 17.99 10.08 10.81 11.10 8.85 9.10
2453965.54311 14.20 14.60 11.05 8.95 11.95 10.66
2453965.54323 14.21 12.24 10.81 12.64 16.32 9.17
2453965.54336 21.19 11.48 10.37 8.25 12.03 7.90
2453965.54349 20.37 11.37 10.81 9.41 14.32 7.38
2453965.54362 15.49 12.37 11.01 8.89 14.22 7.83
2453965.54375 17.08 10.90 10.07 8.60 13.74 8.76
2453965.54388 12.95 14.54 12.73 8.82 11.56 8.66
2453965.54401 14.11 12.46 13.76 9.15 11.53 9.46
2453965.54414 15.61 12.42 10.68 9.82 12.66 11.03
2453965.54426 11.92 12.41 9.61 8.92 10.09 9.52
2453965.5444 20.08 12.17 12.01 8.52 12.57 8.13
2453965.54453 18.03 12.07 13.09 11.72 11.71 11.68
2453965.54466 11.43 15.00 14.55 8.66 19.69 10.06
2453965.54478 17.22 14.55 12.65 8.86 17.62 10.29
2453965.54491 16.26 13.54 11.10 12.27 11.17 9.06
2453965.54504 17.28 11.73 9.92 9.58 11.17 7.93
2453965.54517 17.15 11.07 10.88 12.49 11.23 7.35
2453965.54529 11.05 13.18 15.41 14.58 15.28 8.84
2453965.54542 19.79 15.51 13.53 9.71 14.82 10.34
2453965.54555 14.89 11.57 11.64 9.19 12.99 8.04
2453965.54568 14.29 11.10 10.74 7.41 13.45 7.72
2453965.5458 18.87 13.60 11.95 8.34 12.26 8.28
2453965.54594 18.50 13.88 12.56 11.92 19.03 7.72
2453965.54607 14.93 12.29 11.28 11.24 10.46 8.35
2453965.5462 23.42 10.65 8.84 8.01 10.58 8.34
2453965.54632 13.52 13.11 12.78 11.76 15.16 8.01
2453965.54645 15.20 13.26 12.46 11.53 12.38 12.26
2453965.54658 12.01 13.11 13.04 10.89 12.07 9.67
2453965.54671 21.19 13.58 10.73 13.12 12.09 9.17
2453965.54683 12.78 11.91 10.01 10.27 16.58 8.99
2453965.54697 13.19 13.55 15.02 10.71 11.63 10.40
2453965.5471 15.12 14.00 12.81 10.68 20.40 8.12
2453965.54723 18.92 16.16 12.39 14.99 11.95 10.88
2453965.54735 18.70 11.00 10.28 11.06 16.88 10.46
2453965.54748 19.91 14.48 12.85 12.19 13.47 10.97
2453965.54761 12.19 12.31 10.06 9.86 11.32 8.64
2453965.54774 14.41 15.00 11.96 14.62 11.53 10.51
2453965.54787 15.29 12.55 10.99 9.42 9.42 8.80
2453965.548 14.17 14.27 11.36 7.93 11.52 9.11
2453965.54813 13.70 13.98 10.92 12.18 19.62 9.51
2453965.54826 14.85 13.17 12.04 10.03 13.63 7.88
2453965.54838 13.23 11.06 9.77 6.89 10.69 7.67
2453965.54851 15.20 15.39 12.33 11.79 10.30 10.99
2453965.54864 17.37 13.43 11.56 10.31 12.02 9.42
2453965.54877 15.74 12.14 11.19 11.05 19.33 8.31
2453965.54889 11.94 12.61 10.83 11.92 12.36 8.19
2453965.54902 12.31 12.51 12.51 10.51 9.47 9.49
2453965.54915 15.47 11.17 12.65 9.66 12.41 9.28
2453965.54927 21.53 13.13 11.90 7.81 12.20 8.98
2453965.5494 11.46 13.52 13.97 10.11 11.07 10.93
2453965.54954 11.43 13.19 11.09 13.34 10.89 10.91
2453965.54967 30.87 12.98 13.40 8.23 12.55 11.19
2453965.5498 9.90 12.01 10.78 12.48 12.68 9.08
2453965.54992 14.02 12.57 13.30 2.57 13.32 9.06
2453965.55005 12.90 13.37 12.10 12.02 15.14 7.88
2453965.55018 17.24 12.11 14.44 9.57 11.19 9.85
2453965.5503 13.56 15.64 12.70 9.43 14.55 11.97
2453965.55043 15.42 11.31 12.03 8.60 12.95 9.14
2453965.55056 17.13 14.47 14.26 11.15 16.29 11.35
2453965.55069 12.73 12.35 12.00 11.31 14.54 7.80
2453965.55081 14.62 15.13 14.11 10.96 11.93 10.63
2453965.55094 18.57 13.65 11.86 16.35 18.26 9.67
2453965.55108 12.32 14.80 13.15 10.33 16.15 12.46
2453965.55121 12.98 13.67 12.97 12.82 12.30 9.82
2453965.55133 15.24 12.58 12.97 8.98 15.71 10.04
2453965.55146 13.53 9.54 9.44 12.48 18.06 7.61
2453965.55159 15.16 10.99 12.20 14.31 10.63 7.69
2453965.55172 19.59 11.31 13.42 15.07 13.81 9.14
2453965.55184 19.64 13.86 12.26 9.92 10.93 11.29
2453965.55198 17.26 15.82 12.70 8.93 13.05 10.12
2453965.55211 20.12 12.27 11.89 14.65 19.30 8.56
2453965.55224 19.33 16.03 13.89 17.83 12.21 12.02
2453965.55236 14.19 14.70 11.00 9.94 12.66 10.33
2453965.55249 19.68 15.17 11.48 15.44 12.69 9.24
2453965.55263 17.05 13.20 12.81 10.83 11.89 10.60
2453965.55276 14.68 11.51 12.16 8.12 12.97 8.93
2453965.55289 12.35 13.71 11.50 11.31 14.98 9.72
2453965.55301 20.48 10.50 13.70 14.93 16.10 10.44
2453965.55314 13.90 11.14 9.68 8.35 13.13 8.98
2453965.55327 13.37 13.10 13.02 11.02 25.88 9.50
2453965.55339 15.22 15.30 13.20 11.61 12.82 9.47
2453965.55352 14.93 12.90 15.14 11.10 12.41 12.55
2453965.55365 14.07 15.04 17.65 13.98 10.52 9.13
2453965.55379 19.02 14.56 11.10 12.57 22.70 8.24
2453965.55392 17.25 15.50 12.51 14.49 22.02 11.00
2453965.55404 18.28 14.20 13.10 13.31 10.98 10.69
2453965.55417 16.41 14.09 15.75 9.13 16.63 10.32
2453965.5543 16.68 12.91 12.60 12.56 13.84 9.45
